Name,Tags
Lead Gen | My Brick Offer,"Mobile, UI/UX"
Property Managment & CRM | Brick Kiln,"UI/UX, Web"
Logos & Branding | Brick.,"Brand, Logo"
Event Management | My School Dance,UI/UX
Real Estate Transactions | Brick. (WIP),"UI/UX, Web"
Lego Filmarray | Biofire Defense,"Graphics, Marketing"
Legacy Hardware & Software | Razer Mk II,UI/UX
Syndromic Trends | Biofire Defense,"UI/UX, Web"
Shirts | Biofire Defense,"Graphics, Marketing"
Graphic Signage | Biofire Defense,Graphics
Marketing Gifts | Biofire Defense,Marketing
